"id","district_id","name","created_at","updated_at"
"133","10","Chakhaza North-West","2019-02-12 07:06:15","2019-02-12 07:06:15"
"134","10","Mponela","2019-02-12 07:06:15","2019-02-12 07:06:15"
"135","10","Dzoole North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"136","10","Dzoole South","2019-02-12 07:06:15","2019-02-12 07:06:15"
"137","10","Kayembe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"138","10","Chakhaza North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"139","10","Chakhaza South","2019-02-12 07:06:15","2019-02-12 07:06:15"
"140","11","Liwadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"141","11","Lingadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"142","11","Maganga-Kuluunda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"143","11","Kalonga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"144","11","Ndindi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"145","11","Kambalame","2019-02-12 07:06:15","2019-02-12 07:06:15"
"146","11","Kambwiri","2019-02-12 07:06:15","2019-02-12 07:06:15"
"147","11","Pemba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"148","11","Chitala","2019-02-12 07:06:15","2019-02-12 07:06:15"
"149","11","Lipimbi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"150","12","Mchemani","2019-02-12 07:06:15","2019-02-12 07:06:15"
"151","12","Luweledzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"152","12","Mponda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"153","12","Kapiri","2019-02-12 07:06:15","2019-02-12 07:06:15"
"154","12","Mikundi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"155","12","Msachembe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"156","12","Mkoma","2019-02-12 07:06:15","2019-02-12 07:06:15"
"157","12","Mtope","2019-02-12 07:06:15","2019-02-12 07:06:15"
"158","12","Msitu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"159","12","Namnjiwa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"160","12","Kalumbe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"161","12","Chimimbe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"162","13","Mapuyu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"163","13","Nyanja","2019-02-12 07:06:15","2019-02-12 07:06:15"
"164","13","Kachawa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"165","13","Kamanzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"166","13","Demera","2019-02-12 07:06:15","2019-02-12 07:06:15"
"167","13","Kalambe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"168","13","Mlodzenzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"169","13","Dzanzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"170","13","Nsanjiko","2019-02-12 07:06:15","2019-02-12 07:06:15"
"171","13","Ngala","2019-02-12 07:06:15","2019-02-12 07:06:15"
"172","13","Njewa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"173","13","Nalikule","2019-02-12 07:06:15","2019-02-12 07:06:15"
"174","13","Chiwamba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"175","13","Nkhoma","2019-02-12 07:06:15","2019-02-12 07:06:15"
"176","13","Chilenje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"177","13","Mkuza","2019-02-12 07:06:15","2019-02-12 07:06:15"
"178","13","Mazengera","2019-02-12 07:06:15","2019-02-12 07:06:15"
"179","13","Mtenthera","2019-02-12 07:06:15","2019-02-12 07:06:15"
"180","13","Nyanja","2019-02-12 07:06:15","2019-02-12 07:06:15"
"181","13","Chowo","2019-02-12 07:06:15","2019-02-12 07:06:15"
"182","13","Chitsime","2019-02-12 07:06:15","2019-02-12 07:06:15"
"183","13","Mlodza","2019-02-12 07:06:15","2019-02-12 07:06:15"
"184","13","Chilobwe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"185","13","Nyang'amire","2019-02-12 07:06:15","2019-02-12 07:06:15"
"186","13","Mteza","2019-02-12 07:06:15","2019-02-12 07:06:15"
"187","13","Milindi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"188","13","Chiwenga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"189","13","Mthunthumala","2019-02-12 07:06:15","2019-02-12 07:06:15"
"190","13","Bunda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"191","13","Katope","2019-02-12 07:06:15","2019-02-12 07:06:15"
"192","13","Msinja","2019-02-12 07:06:15","2019-02-12 07:06:15"
"193","13","Nadzumi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"194","13","Malingunde","2019-02-12 07:06:15","2019-02-12 07:06:15"
"195","13","Chiputu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"196","13","Chisapo I","2019-02-12 07:06:15","2019-02-12 07:06:15"
"197","13","Chisapo II","2019-02-12 07:06:15","2019-02-12 07:06:15"
"198","13","Phwetekere","2019-02-12 07:06:15","2019-02-12 07:06:15"
"199","13","Mbidzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"200","13","Chigoneka","2019-02-12 07:06:15","2019-02-12 07:06:15"
"201","13","Mtsiliza","2019-02-12 07:06:15","2019-02-12 07:06:15"
"202","13","Mtandire","2019-02-12 07:06:15","2019-02-12 07:06:15"
"203","13","Mvunguti","2019-02-12 07:06:15","2019-02-12 07:06:15"
"204","13","M'gona - Chitata","2019-02-12 07:06:15","2019-02-12 07:06:15"
"205","13","Kabwabwa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"206","13","Chimutu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"207","13","Nyama","2019-02-12 07:06:15","2019-02-12 07:06:15"
"208","13","Maria","2019-02-12 07:06:15","2019-02-12 07:06:15"
"209","13","Nankhaka","2019-02-12 07:06:15","2019-02-12 07:06:15"
"210","13","Lumbadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"211","13","State House","2019-02-12 07:06:15","2019-02-12 07:06:15"
"212","13","Chilinde I","2019-02-12 07:06:15","2019-02-12 07:06:15"
"213","13","Chilinde II","2019-02-12 07:06:15","2019-02-12 07:06:15"
"214","13","Kaliyeka","2019-02-12 07:06:15","2019-02-12 07:06:15"
"215","13","Tsabango I","2019-02-12 07:06:15","2019-02-12 07:06:15"
"216","13","Tsabango II","2019-02-12 07:06:15","2019-02-12 07:06:15"
"217","13","Kawale I","2019-02-12 07:06:15","2019-02-12 07:06:15"
"218","13","Kawale II","2019-02-12 07:06:15","2019-02-12 07:06:15"
"219","13","Ngwenya","2019-02-12 07:06:15","2019-02-12 07:06:15"
"220","13","Biwi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"221","13","Mchesi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"222","13","Sese","2019-02-12 07:06:15","2019-02-12 07:06:15"
"223","14","Mayani North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"224","14","Mayani South","2019-02-12 07:06:15","2019-02-12 07:06:15"
"225","14","Thiwi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"226","14","Diamphwe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"227","14","Malembo","2019-02-12 07:06:15","2019-02-12 07:06:15"
"228","14","Thete","2019-02-12 07:06:15","2019-02-12 07:06:15"
"229","14","Katewe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"230","14","Magomero","2019-02-12 07:06:15","2019-02-12 07:06:15"
"231","14","Golomoti","2019-02-12 07:06:15","2019-02-12 07:06:15"
"232","14","Mtakataka","2019-02-12 07:06:15","2019-02-12 07:06:15"
"233","14","Bembeke","2019-02-12 07:06:15","2019-02-12 07:06:15"
"234","14","Mlunduni","2019-02-12 07:06:15","2019-02-12 07:06:15"
"235","14","Msunduzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"236","14","Kambirimbiri","2019-02-12 07:06:15","2019-02-12 07:06:15"
"237","14","Mkundi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"238","14","Chongoni","2019-02-12 07:06:15","2019-02-12 07:06:15"
"239","15","Mphepozinai","2019-02-12 07:06:15","2019-02-12 07:06:15"
"240","15","Kandeu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"241","15","Kasinje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"242","15","Sharpe Valley","2019-02-12 07:06:15","2019-02-12 07:06:15"
"243","15","Mwalawoyera","2019-02-12 07:06:15","2019-02-12 07:06:15"
"244","15","Bilira","2019-02-12 07:06:15","2019-02-12 07:06:15"
"245","15","Dzunje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"246","15","Livilidzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"247","15","Likudzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"248","15","Ntonda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"249","15","Njolomole","2019-02-12 07:06:15","2019-02-12 07:06:15"
"250","15","Lizulu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"251","15","Gomani Chikuse","2019-02-12 07:06:15","2019-02-12 07:06:15"
"252","15","Tsangano","2019-02-12 07:06:15","2019-02-12 07:06:15"
"253","16","Makanjira North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"254","16","Makanjira South","2019-02-12 07:06:15","2019-02-12 07:06:15"
"255","16","Malindi","2019-02-12 07:06:15","2019-02-12 07:06:15"
